age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
62.141908467164924,Private,211407.93765420327,Assoc-voc,10.944215064586722,Married-civ-spouse,Tech-support,Husband,White,Male,0.025561632187394007,0.0734238090389857,40.15411556074366,United-States
44.95659694383263,Private,338105.05718545336,Bachelors,12.93072205134231,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,-0.006955621468219063,0.1821412306804484,39.93746934208391,Philippines
22.936962043297914,Private,38251.17694481278,HS-grad,9.092398960241255,Never-married,Other-service,Own-child,White,Female,-0.26723654475254904,0.04205989355825678,39.954641098842515,United-States
28.991982800410547,Local-gov,152460.85889727337,Bachelors,12.955094525445942,Never-married,Tech-support,Not-in-family,White,Female,0.07409924209303018,0.09362400904602027,42.0523932321717,United-States
42.117930234861205,Federal-gov,178073.9663520268,Masters,14.106499671668066,Married-civ-spouse,Adm-clerical,Wife,White,Female,-0.04916467005845844,1901.94513598041,40.11630681466576,United-States
37.77328517903433,Private,179116.97726408427,Assoc-acdm,12.039759718078741,Never-married,Machine-op-inspct,Not-in-family,Black,Female,10520.06303021034,-0.10813389072506399,49.84250789820699,United-States
17.988477441149332,Private,28648.171620233592,11th,7.102826441820101,Never-married,Other-service,Other-relative,White,Female,-0.15001715674000116,0.12242661827058898,40.04412405137301,United-States
42.876026979509895,Private,177054.014316226,HS-grad,8.977325713000228,Married-civ-spouse,Transport-moving,Husband,White,Male,-0.11316288291481841,0.1265714713123656,60.091511191444766,United-States
52.02015741343256,Federal-gov,221532.15062324767,Bachelors,12.916612220666217,Married-civ-spouse,Protective-serv,Husband,White,Male,-0.06470395351244933,0.04587789220283482,44.941949735693306,United-States
28.991571657857484,Private,236938.1734275921,Assoc-acdm,12.0050275145589,Divorced,Craft-repair,Unmarried,White,Female,-0.047585118557024346,0.11076859666022663,37.99272671662521,United-States
50.96654824439901,Private,202956.10224142778,Assoc-voc,10.823799915626742,Married-civ-spouse,Sales,Husband,White,Male,-0.07883859054959033,-0.06794491393888445,39.93439759460035,United-States
17.87866140652699,,184415.91396449556,10th,5.932426017530193,Never-married,,Own-child,Black,Male,-0.20989313385954178,-0.04457273390203509,29.769929105757303,United-States
30.99970809186704,Private,141816.9572008572,Bachelors,12.984976829011252,Married-civ-spouse,Other-service,Husband,White,Male,0.0556117225279983,-0.005880260281327751,39.95128565647222,
33.05842424902574,State-gov,292316.98236911563,9th,5.00177757598513,Married-civ-spouse,Farming-fishing,Husband,White,Male,-0.026357692074641437,0.19551799120332597,40.00153145514746,United-States
38.919791670030754,Private,97135.91475318304,HS-grad,9.05083955970492,Never-married,Machine-op-inspct,Unmarried,Black,Female,-0.134238710738944,0.04391425985414177,39.98770819594561,United-States
30.145635565173993,Private,143766.179323543,HS-grad,8.965655686850647,Never-married,Other-service,Not-in-family,White,Male,0.1242311077328806,0.0027856545754210526,29.9102461245494,United-States
60.87229416005761,Private,85548.14638539772,Some-college,9.95228249176342,Married-civ-spouse,Tech-support,Husband,White,Male,15024.178707620194,-0.00842917714501342,18.097213277442027,United-States
39.973681368323525,Private,144777.85698540442,HS-grad,8.967725735582253,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.12595908654861696,0.010598964574262444,49.93713142375527,United-States
28.909316220146184,Self-emp-not-inc,164607.12342675874,HS-grad,8.997204625021368,Married-civ-spouse,Craft-repair,Husband,White,Male,-0.037112495562599365,0.01939516650728463,39.92681166966036,United-States
28.878148677261283,Private,216478.9173206637,HS-grad,9.040910792194596,Divorced,Exec-managerial,Not-in-family,White,Female,0.10976313854807272,-0.04045866134646223,40.21933121013768,United-States
38.94033322588349,Private,106964.06556455696,Masters,14.068077167699272,Married-civ-spouse,Sales,Husband,White,Male,0.15836246975784815,1976.9663365461977,55.03537567416436,United-States
33.031136805161196,Private,155343.0625316264,HS-grad,9.043279532790908,Never-married,Machine-op-inspct,Unmarried,White,Male,0.024823847885974724,0.07759918553723694,39.80717573111952,United-States
36.076066813774574,Private,130199.97936380457,HS-grad,8.982419576204801,Divorced,Machine-op-inspct,Unmarried,White,Male,0.025152180194904086,0.05664548532527841,39.92813157892208,United-States
64.10849333247441,Private,192883.99094471702,Prof-school,14.960837210737465,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.07122567476251994,-0.00900332377449555,59.80171195651522,United-States
22.041544962653944,Private,170301.92527676182,HS-grad,9.008990109862793,Never-married,Handlers-cleaners,Unmarried,White,Male,0.09368173354045918,1974.0252565486533,44.93913008816782,United-States
52.00100632845598,Self-emp-not-inc,34973.16359289121,HS-grad,9.010646594118125,Married-civ-spouse,Farming-fishing,Husband,White,Male,-0.07221261049626237,1886.9424318252409,60.01018492326518,United-States
52.02365836007505,Self-emp-not-inc,146578.99645533375,HS-grad,8.939696595383392,Divorced,Sales,Unmarried,Black,Male,0.0006808681569206989,-0.00489594850741326,40.0506272860277,United-States
53.95851828626885,Self-emp-not-inc,82550.95984793425,Assoc-voc,11.0592150006395,Married-civ-spouse,Tech-support,Other-relative,White,Female,0.07107701192409109,0.05541492028963255,10.162340464196246,United-States
27.12780180102493,Private,216479.02283484818,Bachelors,12.908473547722288,Never-married,Sales,Not-in-family,White,Female,-0.00041472519722321157,-0.06742829642747705,39.97672881632427,United-States
49.03528072962685,Private,139267.97692687172,HS-grad,9.011637137455132,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.118579531594,0.04351747739388878,40.01928722328638,United-States
21.954788351891143,,190289.96515735003,Some-college,10.042808382120507,Never-married,,Own-child,White,Male,0.14416742311882735,0.0654706156639424,64.8607373463097,United-States
31.073783361630525,State-gov,151763.04491732773,Masters,13.891510363262809,Never-married,Adm-clerical,Not-in-family,White,Male,-0.09112454066079237,0.01603326903999201,24.949266451888736,United-States
40.029188420892545,Private,198452.17564920214,11th,7.085530369987682,Married-civ-spouse,Farming-fishing,Husband,White,Male,-0.06881131129323557,-0.05425446786420658,40.01632461527833,United-States
